,Cities,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
95,Faanui,44,PF,1559024508,76,-16.48,-151.75,82.52,10.6
96,Guane,2,CU,1559024508,73,22.2,-84.09,80.0,17.81
97,Yellowknife,75,CA,1559024508,46,62.45,-114.38,50.0,9.17
98,Barcelos,0,PT,1559024508,76,41.53,-8.62,57.99,10.29
99,Norman Wells,75,CA,1559024509,49,65.28,-126.83,68.0,9.17
100,Zyryanka,79,RU,1559024509,38,65.73,150.89,55.52,3.11
101,Kangaatsiaq,14,GL,1559024509,77,68.31,-53.46,36.62,6.78
102,Changji,98,CN,1559024510,28,32.07,116.17,76.94,10.42
103,East London,40,ZA,1559024510,100,-33.02,27.91,59.0,11.41
104,Esperance,20,TT,1559024511,83,10.24,-61.45,79.0,10.29
105,Oktyabrskiy,0,RU,1559024511,60,55.61,37.97,73.0,4.47
106,San Patricio,29,PY,1559024511,99,-26.98,-56.83,63.98,5.57
107,Polunochnoye,6,RU,1559024512,45,60.87,60.43,61.82,14.92
108,Shar,78,NG,1559024512,81,7.3,8.73,78.38,6.13
109,Samarai,80,PG,1559024513,76,-10.62,150.67,79.46,5.59
110,Burley,90,US,1559024356,87,42.54,-113.79,51.8,4.18
111,Labuhan,43,ID,1559024513,48,-2.54,115.51,93.32,2.42
112,Agadez,1,NE,1559024514,33,16.97,7.99,87.8,18.34
113,Kodiak,20,US,1559024514,83,39.95,-94.76,75.2,11.41
114,Alamos,4,AR,1559024514,70,-36.9,-62.36,47.96,2.86
115,Mountain Home,90,US,1559024515,82,43.13,-115.69,62.6,17.22
116,Honiara,90,SB,1559024515,83,-9.43,159.96,80.6,2.24
117,Berkovica,40,BA,1559024515,88,44.62,18.43,62.6,3.36
118,Jalu,77,LY,1559024445,33,29.03,21.55,81.98,13.82
119,Campo Gobierno,37,MX,1559024516,82,24.65,-107.54,75.0,9.15
120,Ambulu,13,ID,1559024516,78,-8.35,113.61,83.42,16.31
121,Brownsville,90,US,1559024424,88,25.91,-97.49,80.6,13.87
122,Aklavik,75,CA,1559024517,51,68.22,-135.01,60.8,5.73
123,Itarema,77,BR,1559024517,88,-2.92,-39.92,75.68,6.6
124,Harboore,1,DK,1559024518,70,56.62,8.18,48.99,12.75
125,Ginda,0,IN,1559024518,16,30.69,78.49,96.8,6.93
126,Isangel,75,VU,1559024518,78,-19.55,169.27,78.8,5.03
127,Kloulklubed,75,PW,1559024579,74,7.04,134.26,84.2,5.82
128,Luderitz,0,NA,1559024579,93,-26.65,15.16,53.6,5.82
129,Pevek,100,RU,1559024579,93,69.7,170.27,32.3,4.99
130,Ratnagiri,49,IN,1559024579,81,16.98,73.3,83.96,12.17
131,Scalea,88,IT,1559024580,78,39.82,15.79,64.99,8.01
132,Guararapes,0,BR,1559024580,75,-21.25,-50.65,67.04,7.43
133,Katherine,89,AU,1559024580,25,-14.47,132.26,87.8,14.99
134,La Solana,0,ES,1559024581,71,38.94,-3.24,64.0,3.36
135,Khandyga,43,RU,1559024581,35,62.65,135.58,64.34,5.64
136,Ahipara,11,NZ,1559024581,100,-35.17,173.16,63.0,32.1
137,Provideniya,90,RU,1559024582,89,64.42,-173.23,33.8,8.95
138,Saint-Pierre,75,FR,1559024582,87,48.95,4.24,52.0,5.82
139,Mahebourg,75,MU,1559024583,73,-20.41,57.7,77.0,14.99
140,Kaitangata,100,NZ,1559024583,84,-46.28,169.85,51.01,1.99
141,Mujiayingzi,0,CN,1559024583,22,42.12,118.78,69.92,17.9
142,Barrow,1,AR,1559024584,66,-38.31,-60.23,48.14,8.1
143,Mackenzie,1,CA,1559024584,59,55.34,-123.09,62.6,3.36
144,Berdigestyakh,89,RU,1559024584,51,62.1,126.7,58.4,6.4
145,Salalah,40,OM,1559024585,70,17.01,54.1,87.8,14.99
146,Birjand,0,IR,1559024585,11,32.86,59.22,82.4,16.11
147,Bluefields,98,NI,1559024585,99,12.01,-83.77,73.7,0.76
148,Saravan,2,AM,1559024586,33,39.72,45.65,75.2,2.24
149,Delta,90,US,1559024518,100,41.57,-84.01,66.99,3.36
150,Colmenar Viejo,0,ES,1559024586,62,40.66,-3.77,60.01,4.7
151,Gewane,99,ET,1559024587,32,10.16,40.66,90.62,5.57
152,Amapa,40,HN,1559024587,78,15.09,-87.97,80.6,0.69
153,Siuna,97,NI,1559024587,99,13.73,-84.78,68.66,0.92
154,Rodino,20,RU,1559024587,22,52.5,80.2,70.28,7.11
155,Flin Flon,54,CA,1559024588,46,54.77,-101.88,47.42,4.97
156,Santo Domingo,75,DO,1559024589,94,18.48,-69.94,81.0,4.7
157,Zanesville,75,US,1559024589,94,39.94,-82.01,68.0,4.7
158,Ribeira Grande,75,PT,1559024589,77,38.52,-28.7,66.2,9.17
159,Bethel,40,US,1559024590,71,60.79,-161.76,55.4,8.05
160,Chute-aux-Outardes,40,CA,1559024590,69,49.12,-68.38,41.0,4.7
161,Lasa,0,CY,1559024591,47,34.92,32.53,82.4,4.7
162,Flinders,40,AU,1559024591,38,-34.58,150.85,61.0,25.28
163,Mobaye,100,CF,1559024591,81,4.33,21.18,76.04,0.72
164,Tsiroanomandidy,0,MG,1559024592,71,-18.77,46.05,68.12,6.2
165,Hare Bay,90,CA,1559024592,93,48.86,-53.99,37.4,8.05
166,Krasnyy Chikoy,100,RU,1559024592,59,50.36,108.75,48.32,12.82
167,Pangody,67,RU,1559024593,100,65.85,74.49,37.7,14.16
168,Omsukchan,70,RU,1559024593,42,62.53,155.8,50.3,7.45
169,Ende,1,ID,1559024593,73,-8.84,121.65,81.98,11.18
170,Mezen,95,RU,1559024594,72,65.85,44.24,39.5,13.35
171,Port Hardy,5,CA,1559024379,54,50.7,-127.42,57.2,4.7
172,Narrabri,0,AU,1559024594,31,-30.33,149.78,60.8,9.17
173,Narsaq,0,GL,1559024655,69,60.91,-46.05,39.2,4.7
174,Qasigiannguit,15,GL,1559024655,69,68.82,-51.19,39.2,6.2
175,Sungairaya,83,ID,1559024514,72,0.7,108.9,85.04,6.67
176,San Cristobal,90,EC,1559024656,100,-0.39,-78.55,57.2,3.36
177,Verkhoyansk,0,RU,1559024656,18,67.55,133.39,61.46,9.71
178,Yerbogachen,42,RU,1559024657,27,61.28,108.01,52.82,11.52
179,Tigzirt,0,DZ,1559024657,65,36.57,4.2,60.02,4.21
180,Mae Hong Son,20,MM,1559024657,52,19.3,97.96,89.6,2.24
181,Kissidougou,100,GN,1559024657,97,9.19,-10.1,71.54,4.23
182,Iracoubo,100,GF,1559024658,90,5.48,-53.21,76.76,5.12
183,Castro,40,CL,1559024658,100,-42.48,-73.76,35.6,2.24
184,Yumen,32,CN,1559024659,10,40.29,97.04,74.78,8.63
185,Zunyi,69,CN,1559024659,55,27.73,106.92,69.2,3.69
186,Arman,1,RU,1559024659,56,59.7,150.17,56.06,7.9
187,Yulara,31,AU,1559024659,26,-25.24,130.99,69.8,6.93
188,Waingapu,36,ID,1559024660,63,-9.65,120.26,83.78,15.48
189,Cabo San Lucas,23,MX,1559024660,86,22.89,-109.91,73.99,13.49
190,Bae,20,ID,1559024660,49,-6.77,110.86,91.4,14.99
191,Pacific Grove,90,US,1559024571,76,36.62,-121.92,57.2,10.29
192,Banihal,0,IN,1559024661,41,33.44,75.2,58.04,6.73
193,Gat,40,SN,1559024661,88,14.69,-16.54,69.8,8.05
194,Hithadhoo,71,MV,1559024662,79,-0.6,73.08,83.96,11.97
195,Ostersund,40,SE,1559024583,80,63.18,14.64,41.0,11.41
196,Zonguldak,0,TR,1559024409,64,41.25,31.83,73.4,3.36
197,Lebu,69,ET,1559024663,58,8.96,38.73,65.42,3.74
198,Beidao,58,CN,1559024663,49,34.57,105.89,64.16,6.93
199,Santa Maria Ixhuatan,75,GT,1559024663,93,14.19,-90.27,64.4,6.93
200,Griffith,90,AU,1559024664,76,-34.29,146.06,55.4,17.22
201,Nsanje,23,MZ,1559024664,82,-16.92,35.26,67.58,2.17
202,Sambava,34,MG,1559024664,67,-14.27,50.17,75.5,6.11
203,Ugoofaaru,100,MV,1559024665,77,5.67,73.0,86.3,16.22
204,Gao,55,ML,1559024665,13,16.28,-0.04,94.04,9.37
205,Juba,40,EE,1559024666,82,57.82,26.93,55.99,9.17
206,Springdale,1,US,1559024666,83,36.19,-94.13,73.0,6.93
207,Liwale,72,TZ,1559024666,67,-9.8,37.92,71.9,8.93
208,Sechura,80,PE,1559024667,89,-5.56,-80.82,67.22,9.86
209,Sao Joao da Barra,0,BR,1559024667,97,-21.64,-41.05,67.04,2.89
210,Klaksvik,95,FO,1559024667,68,62.23,-6.59,37.4,10.29
211,Cankuzo,96,BI,1559024668,82,-3.22,30.55,66.68,5.64
212,Iralaya,99,HN,1559024668,94,15.0,-83.23,75.32,0.72
213,Krasnovishersk,5,RU,1559024668,51,60.4,57.08,60.74,11.95
214,Vranov,90,CZ,1559024669,100,49.76,13.04,57.99,3.36
215,Makakilo City,75,US,1559024669,83,21.35,-158.09,80.6,3.36
216,Sumbe,90,AO,1559024669,87,-11.2,13.84,71.6,3.36
217,Sao Filipe,1,CV,1559024670,83,14.9,-24.5,73.7,13.15
218,Dingle,100,PH,1559024730,42,11.0,122.67,94.76,7.11
219,Anadyr,75,RU,1559024730,71,64.73,177.51,41.0,8.95
220,Clyde River,1,CA,1559024731,92,70.47,-68.59,23.0,9.17
221,Polewali,100,ID,1559024731,67,-4.03,119.8,88.64,7.61
222,Tianpeng,54,CN,1559024731,55,28.88,112.34,78.74,11.21
223,Grindavik,0,IS,1559024732,69,63.84,-22.43,41.0,14.99
224,Dali,0,CN,1559024732,23,25.6,100.24,84.68,7.47
225,Cherskiy,94,RU,1559024732,80,68.75,161.3,39.68,5.59
226,Areosa,0,PT,1559024733,76,41.72,-8.86,61.0,5.82
227,Carutapera,100,BR,1559024733,94,-1.2,-46.02,75.68,4.09
228,Fortuna,20,ES,1559024733,88,38.18,-1.13,70.0,4.07
229,Campbell River,75,CA,1559024560,64,50.02,-125.24,68.0,5.82
230,Kruisfontein,100,ZA,1559024734,90,-34.0,24.73,56.24,4.63
231,Dalvik,75,SE,1559024734,93,57.79,14.13,51.01,12.75
232,Nemuro,75,JP,1559024735,93,43.32,145.57,57.2,5.82
233,Belaya Gora,82,RU,1559024735,49,68.54,146.19,48.32,8.12
234,Salinas,90,US,1559024514,76,36.67,-121.66,57.2,10.29
235,Nhulunbuy,40,AU,1559024735,69,-12.18,136.78,80.6,12.75
236,Santa Fe,26,AR,1559024736,91,-31.62,-60.7,57.99,1.99
237,Cap Malheureux,75,MU,1559024736,73,-19.98,57.61,77.0,14.99
238,Carballo,75,ES,1559024737,100,43.21,-8.69,59.0,4.7
239,Lavrentiya,98,RU,1559024737,80,65.58,-170.99,39.14,1.23
240,Kavieng,14,PG,1559024737,65,-2.57,150.8,85.76,3.27
241,Henties Bay,25,NA,1559024514,74,-22.12,14.28,60.38,11.88
242,Goba,35,ET,1559024738,64,7.01,39.97,57.68,6.64
243,Chifeng,0,CN,1559024738,18,42.27,118.96,70.46,21.21
244,Touros,40,BR,1559024739,100,-5.2,-35.46,73.4,3.36
245,Alpena,90,US,1559024739,93,45.06,-83.43,46.99,5.82
246,Srandakan,16,ID,1559024739,80,-7.94,110.25,83.24,15.97
247,Clermont,96,AU,1559024568,30,-22.82,147.64,73.7,4.07
248,Shingu,75,JP,1559024740,100,33.72,135.99,68.0,14.99
249,Tiksi,28,RU,1559024740,95,71.64,128.87,32.12,6.51
250,Shimoda,75,JP,1559024741,83,34.7,138.93,73.4,17.22
251,Tarko-Sale,13,RU,1559024741,58,64.92,77.78,64.0,9.69
252,Codrington,0,AU,1559024741,22,-28.95,153.24,69.8,9.17
253,Baiquan,95,CN,1559024742,70,47.61,126.08,51.2,27.47
254,Jardim,0,BR,1559024742,82,-21.48,-56.15,71.54,5.64
255,Kenai,20,US,1559024742,76,60.55,-151.26,52.0,4.68
256,Naze,79,NG,1559024743,95,5.43,7.07,74.6,2.73
257,Aripuana,80,BR,1559024743,76,-9.17,-60.63,76.94,1.07
258,Saint-Georges,4,CA,1559024744,88,46.12,-70.67,36.0,3.06
259,Palmer,20,US,1559024744,50,61.6,-149.11,59.0,13.87
260,Livingston,1,US,1559024744,78,32.58,-88.19,75.99,4.81
261,Tharad,0,IN,1559024745,39,24.39,71.63,97.64,14.52
262,Celestun,20,MX,1559024745,74,20.87,-90.4,83.42,14.58
263,Alofi,4,NU,1559024745,88,-19.06,-169.92,75.2,8.05
264,Apatity,76,RU,1559024806,62,67.57,33.4,45.8,7.85
265,Meulaboh,37,ID,1559024806,71,4.14,96.13,85.22,7.94
266,Kiunga,61,PG,1559024806,56,-6.12,141.3,90.08,1.63
267,Ulaanbaatar,40,MN,1559024582,11,47.92,106.92,73.4,6.71
268,Vestmannaeyjar,0,IS,1559024807,72,63.44,-20.27,46.52,4.07
269,Alta Floresta,61,BR,1559024807,82,-9.87,-56.08,74.06,1.41
270,Holme,75,GB,1559024807,100,53.7,-2.31,53.01,3.36
271,Zapolyarnyy,75,RU,1559024808,86,69.43,30.82,37.4,16.11
272,Ancud,40,CL,1559024808,100,-41.87,-73.83,35.6,2.24
273,Victoria,75,BN,1559024521,63,5.28,115.24,93.2,3.36
274,Ostrovnoy,36,RU,1559024809,71,68.05,39.51,35.72,8.39
275,Vardo,1,US,1559024809,93,39.62,-77.74,68.0,1.66
276,Tuatapere,100,NZ,1559024810,79,-46.13,167.69,55.0,1.99
277,Fare,67,PF,1559024810,77,-16.7,-151.02,81.98,13.44
278,Sabha,0,LY,1559024810,38,27.03,14.43,78.92,16.69
279,Hay River,75,CA,1559024810,65,60.82,-115.79,46.4,9.17
280,Oranjemund,1,ZA,1559024811,94,-28.55,16.43,55.16,11.25
281,Denpasar,20,ID,1559024811,70,-8.65,115.22,84.2,19.46
282,Buraydah,0,SA,1559024811,24,26.33,43.97,93.2,4.7
283,Sao Felix do Xingu,40,BR,1559024812,96,-6.64,-51.99,70.28,3.42
284,Gilbues,28,BR,1559024812,62,-9.83,-45.34,69.38,7.52
285,Laguna,0,MX,1559024813,47,27.52,-110.01,74.06,8.01
286,Spisska Bela,75,SK,1559024813,93,49.19,20.46,63.0,5.82
287,Saint-Philippe,40,CA,1559024813,65,45.36,-73.48,51.8,5.17
288,Kharp,100,RU,1559024813,100,66.82,65.8,36.8,9.37
289,Namatanai,64,PG,1559024814,82,-3.66,152.44,81.62,4.0
290,Iguape,0,BR,1559024814,78,-24.7,-47.56,66.32,4.38
291,Almaznyy,0,RU,1559024814,68,48.03,40.04,69.8,4.47
292,Jatiroto,20,ID,1559024815,49,-6.89,111.01,91.4,14.99
293,Mitsamiouli,20,KM,1559024815,74,-11.38,43.28,80.6,10.29
294,Pisco,7,PE,1559024815,87,-13.71,-76.2,59.0,4.7
295,Marsh Harbour,0,BS,1559024816,67,26.54,-77.06,76.58,8.55
296,Bathsheba,40,BB,1559024816,78,13.22,-59.52,80.6,12.75
297,Dongsheng,0,CN,1559024816,38,29.72,112.52,82.34,15.3
298,Saint-Joseph,0,FR,1559024817,93,43.56,6.97,64.99,2.24
299,San Policarpo,86,PH,1559024817,66,12.18,125.51,87.02,11.92
300,Quelimane,40,MZ,1559024817,57,-17.88,36.89,77.0,4.7
301,Okhotsk,39,RU,1559024817,60,59.36,143.24,50.84,13.85
302,Natal,40,BR,1559024818,88,-5.81,-35.21,75.2,4.7
303,Aitape,39,PG,1559024818,73,-3.15,142.36,84.5,7.23
304,Louviers,3,FR,1559024818,93,49.22,1.16,55.0,6.93
305,Tautira,0,PF,1559024819,73,-17.73,-149.15,75.2,2.24
306,Mount Isa,18,AU,1559024819,20,-20.73,139.49,75.2,10.29
307,Goderich,100,CA,1559024820,86,43.74,-81.71,55.99,11.01
308,Torbay,90,CA,1559024820,100,47.66,-52.73,37.99,8.05
309,Bilibino,99,RU,1559024820,96,68.06,166.44,34.82,1.95
310,Praia da Vitoria,75,PT,1559024820,77,38.73,-27.07,64.4,11.86
311,Leningradskiy,77,RU,1559024881,94,69.38,178.42,32.84,7.83
312,Tomatlan,53,MX,1559024881,87,19.93,-105.25,75.5,3.33
313,Sinazongwe,0,ZM,1559024881,61,-17.26,27.46,62.72,0.25
314,Paita,61,PE,1559024882,91,-5.09,-81.11,67.94,12.68
315,Mozarlandia,43,BR,1559024882,70,-14.74,-50.57,74.24,2.89
316,Honningsvag,20,NO,1559024882,81,70.98,25.97,41.0,11.41
317,Herat,0,AF,1559024883,14,34.35,62.22,91.4,6.93
318,Pitimbu,40,BR,1559024883,100,-7.47,-34.81,73.4,5.82
319,Doctor Arroyo,21,MX,1559024883,64,23.67,-100.18,67.22,10.13
320,Kuminskiy,67,RU,1559024884,56,58.67,66.57,70.28,13.8
321,Burns Lake,68,CA,1559024884,49,54.23,-125.76,54.98,3.89
322,Iqaluit,90,CA,1559024885,86,63.75,-68.52,33.8,9.17
323,Kropotkin,0,RU,1559024885,73,45.43,40.58,69.2,0.27
324,Haveli,0,PK,1559024886,20,33.47,72.12,95.0,10.29
325,Bilma,8,NE,1559024886,12,18.69,12.92,90.08,5.46
326,Hemsedal,1,NO,1559024886,66,60.86,8.55,33.01,3.0
327,Hovd,75,NO,1559024887,70,63.83,10.7,45.0,2.24
328,Port Blair,75,IN,1559024887,74,11.67,92.75,86.0,8.05
329,Northam,20,GB,1559024888,87,51.04,-4.21,54.0,4.7
330,Asosa,97,ET,1559024888,70,10.07,34.53,74.96,2.68
331,Chocope,75,PE,1559024888,82,-7.79,-79.22,66.2,8.05
332,Georgetown,40,GY,1559024833,94,6.8,-58.16,77.0,4.7
333,Kodinsk,56,RU,1559024889,60,58.6,99.18,48.68,9.13
334,Kommunar,75,RU,1559024889,82,59.62,30.39,57.99,11.18
335,Padang,20,ID,1559024890,70,-0.92,100.36,89.6,4.7
336,Smolenka,99,PL,1559024890,96,54.15,22.76,59.48,8.41
337,Salmon Arm,73,CA,1559024890,80,50.7,-119.29,55.99,2.62
338,Manoel Urbano,65,BR,1559024891,85,-8.84,-69.26,73.7,2.1
339,Kamenka,52,RU,1559024891,70,53.19,44.05,66.14,4.88
340,Zhob,0,PK,1559024891,8,31.34,69.45,82.7,12.82
341,Lulea,0,SE,1559024892,81,65.58,22.15,46.4,8.05
342,Vilhena,68,BR,1559024892,86,-12.74,-60.15,70.1,1.79
343,Ridgecrest,1,US,1559024709,47,35.62,-117.67,57.2,10.29
344,Belyy Yar,0,RU,1559024892,33,53.6,91.39,59.0,4.47
345,Samarinda,95,ID,1559024893,63,-0.5,117.14,89.36,2.62
346,Maniitsoq,66,GL,1559024893,81,65.42,-52.9,37.34,5.1
347,Puerto Carreno,100,CO,1559024894,88,6.19,-67.49,77.84,3.51
348,Menongue,1,AO,1559024894,58,-14.66,17.68,53.0,1.7
349,Chuy,100,UY,1559024894,82,-33.69,-53.46,61.28,6.2
350,Mogadishu,37,SO,1559024825,68,2.04,45.34,84.5,13.78
351,Nouadhibou,90,MR,1559024895,88,20.93,-17.03,64.4,12.75
352,Kirakira,100,SB,1559024895,82,-10.46,161.92,81.08,10.69
353,Novouralsk,88,RU,1559024895,48,57.25,60.1,68.3,11.7
354,Khomutovka,12,RU,1559024956,81,51.92,34.56,69.02,9.82
355,Lata,0,IN,1559024956,35,30.78,78.62,46.34,9.24
356,Awbari,19,LY,1559024957,33,26.59,12.77,80.36,12.8
357,Arcos de la Frontera,0,ES,1559024957,82,36.75,-5.81,66.99,2.24
358,Beringovskiy,84,RU,1559024957,66,63.05,179.32,41.48,8.14
359,Jumla,0,NP,1559024957,11,29.28,82.18,73.7,5.01
360,Kamaishi,75,JP,1559024958,57,39.28,141.86,75.2,2.24
361,Launceston,75,AU,1559024959,61,-41.43,147.14,48.99,20.8
362,Lalganj,0,IN,1559024959,11,26.17,80.97,107.6,11.41
363,Rome,75,IT,1559024958,87,41.89,12.48,64.0,3.36
364,Hualmay,91,PE,1559024959,91,-11.1,-77.61,63.26,16.87
365,Kirovskiy,55,RU,1559024960,47,45.09,133.51,64.52,17.22
366,Sabang,100,PH,1559024960,69,13.72,123.58,88.1,7.4
367,Thaba Nchu,0,ZA,1559024960,81,-29.2,26.83,48.2,3.36
368,Chadiza,0,ZM,1559024961,74,-14.06,32.43,62.36,9.42
369,Taoudenni,0,ML,1559024961,12,22.68,-3.98,90.98,7.61
370,Charters Towers,58,AU,1559024961,44,-20.07,146.27,76.94,5.06
371,Ketchikan,1,US,1559024962,71,55.34,-131.65,57.2,4.7
372,Alikovo,0,RU,1559024962,55,55.74,46.75,66.2,8.95
373,Bulgan,100,MN,1559024963,56,48.81,103.53,53.0,12.59
374,Souillac,90,FR,1559024963,87,45.6,-0.6,57.0,8.05
